Screen Name ,Entity Code Name,Visual Name on Screen,Box Type,Which query or Hard-Coded Strings are being used for showing DROP DOWN data values ?,Drop Down Tables or  Hard Coded,Which table is being used for saving actual client data?,Actual Table - Field Name,Tab Name,Form Level Exceptions,Buisness Rules (Viewing),Code Line,Buisness Rules/Validation (Save & Exit),Code Line ( Save) ,Code Line ( Save & Exit )  or Silent functions,Events - Drop Down / Group Boxes/ Check Boxes,Similar logic implemented by Akshat in ReACT,Comments / Extra Explanations  by Deepak
Account Detail,bxAcctName,Customer Account Name,Text Box,,,,,frmAccountParent_CCT,,,,,,,,,
Account Detail,bxCustNum,Customer #,Text Box,,,,,frmAccountParent_CCT,,,,,,,,,
Account Detail,bxTermDate,Termination Date:,Text Box,,,,,frmAccountParent_CCT,,,,,,,,,
Account Detail,bxAcctStatus,Account Status:,Text Box,,,,,frmAccountParent_CCT,,,,,,,,,
Account Detail ,bxSACName2,Special Account Contacts (2),Text Box,,,,,frmAccountParent_CCT,,,,,,,,,
Account Detail,bxSACName1,Special Account Contacts (1),Text Box,,,,,frmAccountParent_CCT,,,,,,,,,
Account Detail,bxLossCtl1,Risk Solutions Consultants (1),Text Box,,,,,frmAccountParent_CCT,,,,,,,,,
Account Detail,bxLossCtl2,Risk Solutions Consultants (2),Text Box,,,,,frmAccountParent_CCT,,,,,,,,,
Account Detail,bxDateCreated,Create Date,Text Box,,,,,frmAccountParent_CCT,Input Mask -99/99/0000;0;_,,,,,,,,
Account Detail,bxCreatedBy,Created By,Text Box,,,,,frmAccountParent_CCT,,,,,,,,,
Account Detail,cboOB,Onboarding Method,Text Box,,,,,frmAccountParent_CCT,,,,,,,,,
Account Detail,bxSince,on Board Date,Text Box,,,,,frmAccountParent_CCT,Input Mask -99/99/0000;0;_,,,,,,,,
Account Detail,bxBranch,Branch,TextBox,,,,,frmAccountParent_CCT,,,,,,,,,
Account Detail,bxAcctNotes,Account Details:,Text Box,,,,,frmAccountParent_CCT,,,,,,,,,
Account Detail -Bottom Text,bxInactive,This Account is Inactive,label,,,,,frmAccountParent_CCT,,,,,,,,,
Account Detail -Bottom Text,UnderCon1,This Account is Under Construction,,,,,,frmAccountParent_CCT,,,,,,,,,
Account Detail -Bottom Text,UnderCon2,Please enter this claim as you normally would:,,,,,,frmAccountParent_CCT,,,,,,,,,
Account Detail -Bottom Text,UnderCon3,* Marking as a Special Account,,,,,,frmAccountParent_CCT,,,,,,,,,
Account Detail -Bottom Text,UnderCon4,* Filling out the SAC Tab,,,,,,frmAccountParent_CCT,,,,,,,,,
Account Detail -Bottom Text,UnderCon5,* Attaching the SHI Document,,,,,,frmAccountParent_CCT,,,,,,,,,
Account Detail -Bottom Text,UnderCon6,(There will not be a PMS Unit noted by CCT at this time),,,,,,frmAccountParent_CCT,,,,,,,,,
Account Detail -Bottom Text,bxHCM,"This is an HCM or Location Coded Only Account.  There is very little account information and sometimes no Insured and/or Agent contact information in the database.  The SHI will be different than you’d normally see.  Please to attach to your claim.  Please mark your claim as Special following your policy instructions and fill out the SAC Tab (including Account Location Identifier, if applicable).",,,,,,frmAccountParent_CCT,,,,,,,,,
Account Details- Hidden Variables,txtLOCOnly,Hidden,,,,,,frmAccountParent_CCT,,,,,,,,,
Account Details- Hidden Variables,txtLanID,Hidden,,,,,,frmAccountParent_CCT,,,,,,,,,
Account Details- Hidden Variables,bxBusType,Hidden,,,,,,frmAccountParent_CCT,,,,,,,,,
Account Details,btnViewPol,View Policies,Command Button,,,,,frmAccountParent_CCT,,,,,,,,,Opens up frmSpecAcctPolicies_CCT
,,,,,,,,,,,,,,,,,
Account Options,bxDisplayPolicy,Click on a Policy Below to View details:,List Box,"SELECT tblPOLICIES.AcctOnPolicyName AS [Name On Policy], tblPOLICIES.PolPref AS Prefix, tblPOLICIES.PolicyNum AS PolicyNum, tblPOLICIES.PolMod AS Mod, tblPOLICIES.InceptDate, tblPOLICIES.ExpDate AS ExpireDate, tblPOLICIES.PolicyType, tblPOLICIES.PolicyStatus FROM tblPOLICIES WHERE (((tblPOLICIES.CustomerNum)=Forms!frmAccountParent_CCT!bxCustNum)) ORDER BY tblPOLICIES.PolicyNum, tblPOLICIES.PolMod DESC; ",,,,frmSpecAcctPolicies_CCT,,,,,,,,,
Account Options,bxFindStatus,Filter by Policy Status,DropDown,"SELECT tblPolicies.PolicyStatus FROM tblPolicies GROUP BY tblPolicies.PolicyStatus, tblPolicies.CustomerNum HAVING (((tblPolicies.CustomerNum)=[Forms]![frmSpecAcctPolicies_CCT]![Text9])) ORDER BY tblPolicies.PolicyStatus; ",,,,frmSpecAcctPolicies_CCT,,,,,,18,"After find Policy is udpate by selecting the dropdown the bxdisplayPolicy List box is update with the new values, search based on the query - ""SELECT tblPOLICIES.AcctOnPolicyName AS [Name On Policy], tblPOLICIES.PolPref AS Sym, tblPOLICIES.PolicyNum AS PolNum, tblPOLICIES.PolMod AS Mod, tblPOLICIES.InceptDate, tblPOLICIES.ExpDate AS Expires, tblPOLICIES.PolicyType, tblPOLICIES.PolicyStatus FROM tblPOLICIES WHERE (((tblPOLICIES.PolicyStatus) = [Forms]![frmSpecAcctPolicies_CCT]![bxFindStatus]) And ((tblPOLICIES.CustomerNum) = [Forms]![frmSpecAcctPolicies_CCT]![Text9]))ORDER BY tblPOLICIES.PolicyNum, tblPOLICIES.PolMod DESC;""",,
Account Options,bxFindPolicy,Filter By Policy Number,Dropdown,"SELECT tblPolicies.PolicyNum FROM tblPolicies GROUP BY tblPolicies.PolicyNum, tblPolicies.CustomerNum HAVING (((tblPolicies.CustomerNum)=[Forms]![frmSpecAcctPolicies_CCT]![Text9])) ORDER BY tblPolicies.PolicyNum; ",,,,frmSpecAcctPolicies_CCT,,,,,,10,"After find Policy is udpate by selecting the dropdown the bxdisplayPolicy List box is update with the new values, search based on the query - ""ctOnPolicyName AS [Name On Policy], tblPOLICIES.PolPref AS Sym, tblPOLICIES.PolicyNum AS PolNum, tblPOLICIES.PolMod AS Mod, tblPOLICIES.InceptDate, tblPOLICIES.ExpDate AS Expires, tblPOLICIES.PolicyType, tblPOLICIES.PolicyStatus FROM tblPOLICIES WHERE (((tblPOLICIES.PolicyNum) = [Forms]![frmSpecAcctPolicies_CCT]![bxFindPolicy]) And ((tblPOLICIES.CustomerNum) = [Forms]![frmSpecAcctPolicies_CCT]![Text9]))ORDER BY tblPOLICIES.PolicyNum, tblPOLICIES.PolMod DESC;""",,
Account Options,Command 3,View Policy,Command Button,,,,,frmSpecAcctPolicies_CCT,,,,,,40,,,"Opens up ""frmPolicyParent_CCT"""
,,,,,,,,,,,,,,,,,
